200
  34 	    18887 	   27
  16 	    19794 	   52
  37 	      493 	   76
  22 	    18363 	   98
  41 	     8060 	  121
  27 	    12541 	  157
  23 	    15737 	  183
  19 	    30568 	  207
  33 	    45531 	  224
  24 	     6068 	  234
  30 	    11803 	  261
   9 	    29070 	  273
  44 	    10457 	  304
  43 	     8230 	  322
  22 	    16920 	  336
  38 	    47199 	  365
  16 	     8371 	  403
  27 	    24092 	  438
   7 	     9874 	  470
  21 	    10997 	  501
   6 	    20926 	  515
  28 	    20337 	  550
  47 	    45730 	  563
   8 	    32125 	  563
  33 	    28546 	  592
  18 	     3435 	  606
  44 	    41751 	  613
   9 	    45277 	  621
  39 	     1585 	  654
   2 	    40755 	  673
  33 	    15061 	  699
  19 	    27740 	  736
  27 	     2587 	  775
  40 	    12796 	  785
  35 	    40379 	  802
   2 	    22098 	  804
  18 	    18493 	  811
   7 	    45302 	  831
  37 	    25442 	  846
  40 	     4445 	  860
  41 	    24730 	  896
  18 	     2098 	  907
  32 	    26676 	  916
  28 	    24568 	  932
  48 	    40354 	  938
  16 	    31307 	  976
  20 	    44625 	 1004
  22 	     5733 	 1048
   4 	    10020 	 1048
  19 	     7709 	 1068
  41 	    46150 	 1074
  24 	    38619 	 1084
  47 	     5452 	 1115
   6 	    40380 	 1158
  15 	     8229 	 1159
   1 	    45194 	 1199
  35 	    23765 	 1223
  15 	     8988 	 1249
  44 	    34492 	 1266
  16 	     5860 	 1282
  33 	    36552 	 1299
  29 	     9276 	 1301
  25 	    36122 	 1309
  46 	    12030 	 1346
  36 	    45794 	 1369
  29 	    22144 	 1375
  29 	    47530 	 1386
   5 	    44444 	 1429
  14 	    46539 	 1470
  41 	    42905 	 1483
  29 	    14689 	 1507
  18 	     9918 	 1543
  25 	    43744 	 1558
  34 	    10491 	 1572
  23 	    30726 	 1591
  41 	    25506 	 1620
   5 	    37787 	 1659
  33 	     4543 	 1703
  48 	    27508 	 1703
   5 	    32349 	 1744
  23 	    39829 	 1758
  44 	    11747 	 1781
  41 	    11423 	 1807
  11 	    19606 	 1823
  12 	    41731 	 1866
   6 	    13321 	 1892
  45 	    40627 	 1934
  16 	    26709 	 1935
  33 	     5259 	 1949
  38 	    34063 	 1963
   1 	    36037 	 1980
  50 	    11380 	 1990
  19 	    42072 	 2023
  32 	    31882 	 2033
  34 	     5895 	 2058
  14 	    33200 	 2069
  50 	     4997 	 2108
  24 	    16814 	 2126
  41 	    17096 	 2137
  17 	    29085 	 2152
  41 	    47685 	 2188
  43 	    27937 	 2210
  46 	    27757 	 2214
  19 	    42888 	 2216
  49 	    24173 	 2255
  10 	     2337 	 2290
  43 	    27588 	 2311
   2 	    41714 	 2323
  22 	     1256 	 2367
  50 	    29722 	 2396
  40 	     3812 	 2416
  18 	    47706 	 2449
  28 	    29151 	 2488
   9 	    43921 	 2522
  23 	    27270 	 2548
  32 	    45631 	 2577
  43 	    27973 	 2594
   1 	    39626 	 2594
  23 	    11300 	 2619
  43 	     7899 	 2642
  49 	    40191 	 2681
  41 	      210 	 2702
  20 	    43337 	 2714
   6 	     7995 	 2733
  30 	    46770 	 2766
  27 	    44851 	 2776
  11 	    12143 	 2820
  35 	    37994 	 2860
  22 	    31568 	 2889
  14 	     9962 	 2918
  27 	     2260 	 2922
   3 	    21203 	 2933
  35 	    22022 	 2945
  19 	    45529 	 2979
  23 	    13909 	 3012
  49 	    24037 	 3015
   4 	    30249 	 3048
  34 	    12134 	 3056
  41 	    47755 	 3093
  47 	    42369 	 3117
   1 	    14047 	 3120
  48 	    26250 	 3130
   4 	    19034 	 3163
  48 	    46254 	 3185
  37 	    31126 	 3202
  47 	    13976 	 3240
   8 	    15730 	 3271
  11 	    29415 	 3292
  11 	    10305 	 3300
  28 	     6051 	 3323
   7 	    12903 	 3367
  48 	    34700 	 3395
  40 	    12003 	 3398
   4 	    24501 	 3424
  48 	    20539 	 3458
   2 	    10536 	 3472
  40 	    27693 	 3502
  28 	    24505 	 3531
  50 	    38965 	 3551
  30 	    31344 	 3576
  28 	    34901 	 3619
  22 	    16950 	 3658
  18 	    21989 	 3670
  46 	      744 	 3709
  30 	    10391 	 3721
  41 	    41542 	 3745
  27 	    22233 	 3771
  43 	    42361 	 3798
  24 	    42762 	 3819
  10 	    23191 	 3834
  47 	    14368 	 3866
  35 	    18691 	 3897
  25 	    26058 	 3926
  19 	    32206 	 3949
  13 	    35387 	 3989
  47 	    18727 	 3998
  17 	    32553 	 4016
  30 	    32947 	 4026
  48 	    12971 	 4032
  31 	     7632 	 4060
   8 	    34628 	 4062
  37 	    47215 	 4087
  13 	    32091 	 4114
  30 	    37611 	 4148
  40 	    40275 	 4168
  42 	    12621 	 4201
  38 	    37889 	 4244
  17 	    47771 	 4278
   7 	    30418 	 4284
  11 	    37850 	 4301
   6 	    17060 	 4318
  19 	     2946 	 4321
  24 	    12459 	 4329
  38 	    44290 	 4342
   8 	    26479 	 4354
  15 	    30472 	 4378
   1 	    13460 	 4401
  39 	    34026 	 4404
  25 	    15234 	 4441
  32 	    11494 	 4459
